Country,Totallife,Malelife,Femalelife,S2016Rural,S2016Urban,S2016Total,W2016Rural,W2016Urban,W2016Total,S2010Rural,S2010Urban,S2010Total,W2010Rural,W2010Urban,W2010Total,S2000Rural,S2000Urban,S2000Total,W2000Rural,W2000Urban,W2000Total
Lebanon,76.3,75.1,77.7,0,0,97,0,0,93,0,0,88,0,0,90,0,0,75,0,0,85
Lesotho,52.9,51,54.6,41,41,41,59,93,69,28,35,30,61,88,68,6,21,9,64,80,67
Liberia,62.9,62,63.9,6,28,17,61,83,72,5,28,16,58,82,69,4,25,14,50,78,62
Libya,71.9,69,75,0,0,100,0,0,99,0,0,99,0,0,93,0,0,97,0,0,84
Lithuania,75,69.7,80.2,84,97,93,92,100,97,77,96,90,86,99,94,66,93,84,75,97,90
Luxembourg,82.4,80.1,84.6,99,97,98,99,100,100,99,97,98,100,100,100,99,98,98,100,100,100
Madagascar,66.1,64.6,67.6,6,17,10,36,85,53,5,14,8,31,78,46,3,9,5,24,68,36
Malawi,64.2,61.4,66.8,24,34,26,64,86,68,22,33,24,58,86,62,19,32,21,47,86,53
Malaysia,75.3,73.2,77.6,99,100,100,90,99,97,97,99,99,91,99,97,94,98,97,94,99,97
Maldives,78.4,77.2,79.9,99,99,99,100,98,99,88,96,91,97,98,97,67,92,74,90,98,92
Mali,58,57.5,58.4,28,52,38,66,91,77,20,45,29,55,86,66,9,34,16,38,76,49
Malta,81.5,79.6,83.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mauritania,63.9,62.6,65.2,18,72,46,48,88,69,14,54,32,39,79,58,7,34,17,25,67,41
Mauritius,74.8,71.6,78.1,95,96,96,100,100,100,94,95,94,100,100,100,88,92,90,99,100,99
Mexico,76.6,74,79.2,81,93,90,95,100,99,71,89,85,88,98,96,53,83,75,73,94,89
Micronesia (Federated States of),69.6,68.4,70.8,0,0,88,0,0,79,0,0,67,0,0,82,0,0,25,0,0,88
