Country,2015,2015capita,2014,2014capita,2013,2013capita,2012,2012capita,2011,2011capita,2010,2010capita,2009,2009capita,2008,2008capita,2007,2007capita,2006,2006capita,2005,2005capita,2004,2004capita,2003,2003capita,2002,2002capia,2001,2001capita,2000,2000capita
Dominican Republic,6.2,873.1,6.1,799.9,6,728.5,5.9,689.2,5.6,642.1,5.6,608.4,5.1,512.4,4.7,474.3,4.2,406.9,4.2,372.1,4.6,361.5,4.4,310.5,4.3,293,4.4,303.4,4.3,277.6,4.2,263.7
Ecuador,8.5,980.2,8.6,994.4,8.5,942,8.4,881,7.8,770.8,7.5,688.9,6.6,591.1,6.1,542.3,5.9,490.6,5.7,461.3,5.6,427.5,5.6,398,5.4,355.6,4.5,283.6,3.7,228.8,3.3,194.2
Egypt,4.2,495.2,4.1,491,4.6,476.5,4.9,460.3,4.6,450.1,4.4,421.6,4.6,426,4.7,419.6,4.7,389.1,5.1,392.3,5.2,368.6,5.1,343.6,5.5,352.1,5.8,359.6,5.7,345.5,5.2,303.1
El Salvador,6.9,578.5,6.8,551.8,6.9,546.7,6.7,514.2,6.8,505.7,6.9,494.5,6.8,478.3,6.2,447.7,6.3,442.7,6.7,440.8,7.2,445.3,7.3,424.7,7.3,408.7,7.7,413.2,7.8,407.8,8,402.9
Equatorial Guinea,2.7,789.6,1.8,583.3,1.7,584.5,1.4,524.2,1.3,463.5,1.5,506.2,1.7,632.6,1.3,507.1,1.5,494,1.5,435.7,0.8,205.4,1,271.2,1.2,237.6,1,186,2.3,347.4,2.5,255
Eritrea,3.3,56.2,3.4,56.6,3.2,53.2,3.2,53.5,3.4,51.2,3.7,51,4,54.7,4.7,62,4.1,60.2,5.3,76.5,5.3,77,5.4,76.4,5.7,79.2,5.5,79.7,5.3,76.1,5.6,75.1
Estonia,6.5,1886.8,6.2,1774.3,6,1653.7,5.8,1516.3,5.8,1429,6.3,1369.7,6.5,1342.8,5.8,1303.6,5,1104.1,4.9,947.8,5,818.6,5.1,734.8,4.9,638.3,4.7,548.6,4.8,494.4,5.2,486.2
Eswatini,7,628.9,7.2,607.6,7.3,592.9,7.4,568,8.5,615.1,8.2,614.3,7.1,504.8,7.3,516.5,6.3,431.3,6.2,410.7,5.9,359.3,5,299.5,4.8,277.8,4.6,238.4,4.5,226.6,4.6,223.5
Ethiopia,4,65.6,4,60.5,4.1,55.9,4.6,57.3,4.5,52.4,5.5,57.9,4.4,41.8,4.3,38,4.8,38.8,4.3,30.6,4.1,26.8,4.3,25,4.9,25,4.7,24.8,4.8,24.9,4.4,21.4
Fiji,3.6,331.4,3.7,322.1,3.5,286.2,3.5,272.8,3.4,254.9,3.6,266.6,3.7,267.3,3.3,244.7,3.7,257.4,3.6,250.1,3.5,233.3,3.5,225.5,3.2,190.6,3.2,185.9,3.1,173.1,3.7,196.2
