,"2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in PPP int$"
"Benin","4.0","31.3","84.5","3.6","34.4","76.8","3.9","35.8","78.2","4.7","39.1","88.2","4.2","35.0","77.3","4.1","31.1","73.3","3.9","30.7","68.5","3.7","30.3","65.4","4.0","28.0","67.4","4.1","25.5","65.6","4.0","24.2","62.2","4.2","24.6","63.9","4.2","21.6","60.7","4.2","17.5","59.5","4.5","17.0","61.9","4.3","16.0","56.4"
"Bhutan","3.5","91.1","287.1","3.2","79.9","245.7","3.3","78.6","244.6","3.2","77.0","227.8","3.0","74.0","205.0","3.2","69.3","200.0","3.5","57.6","184.2","3.2","53.7","160.6","3.3","55.1","162.4","3.1","44.0","142.7","3.5","41.9","135.3","3.6","40.8","138.7","3.4","36.6","129.5","3.7","32.5","120.9","3.8","32.6","121.7","4.2","31.7","116.2"
"Bolivia (Plurinational State of)","6.4","197.3","445.8","5.8","180.5","384.9","5.5","162.9","348.2","5.1","135.6","302.4","5.1","120.4","283.5","5.1","101.0","270.0","5.1","90.3","259.6","4.5","78.7","225.9","4.6","64.2","216.3","4.6","56.6","203.5","5.0","51.9","207.5","4.8","46.9","189.4","5.1","47.1","192.6","4.8","43.8","175.0","4.7","45.3","168.9","4.3","43.5","151.2"
"Bosnia and Herzegovina","9.4","431.2","1101.8","9.6","496.6","1072.0","9.5","477.8","1026.6","9.5","448.1","966.4","9.2","463.9","908.8","9.0","417.0","842.5","9.0","424.9","814.6","9.7","484.3","858.9","9.5","387.7","756.7","9.2","302.9","657.0","9.1","262.3","570.2","9.1","244.6","539.2","8.0","180.4","435.7","7.0","124.5","361.5","7.2","110.1","342.4","7.1","105.0","325.1"
"Botswana","6.0","389.4","970.0","5.3","397.6","890.4","5.4","378.0","864.2","6.4","498.7","923.7","6.3","471.5","856.5","5.6","381.0","784.3","6.7","349.8","816.1","5.7","321.5","756.1","5.3","300.1","652.1","5.0","269.2","567.8","5.3","281.3","542.8","6.2","305.0","603.9","5.8","240.8","538.8","4.7","145.0","419.8","6.6","206.0","548.9","5.8","194.8","480.1"
"Brazil","8.9","780.4","1391.5","8.4","1014.1","1365.3","8.0","975.9","1275.6","7.8","960.8","1203.5","7.8","1029.3","1170.5","8.0","894.9","1135.9","8.4","720.0","1112.4","8.0","704.9","1063.9","8.2","600.4","1026.5","8.3","484.0","958.5","8.0","383.6","880.7","8.2","296.0","849.9","8.2","251.0","795.1","8.7","246.2","827.9","8.6","270.0","789.8","8.4","313.1","754.6"
"Brunei Darussalam","2.6","812.2","2083.4","2.2","899.0","1732.7","2.1","946.1","1735.8","1.9","882.0","1545.5","1.9","876.4","1536.8","2.3","803.5","1798.1","2.4","741.6","2040.9","1.9","789.0","1635.6","1.9","702.9","1712.7","1.9","654.7","1656.8","2.2","646.1","1828.5","2.5","619.1","2047.5","2.6","535.1","2057.1","2.5","473.1","1944.8","2.5","464.7","1889.6","2.5","508.4","1836.0"
"Bulgaria","8.2","572.0","1491.9","8.5","666.4","1477.1","7.8","601.0","1303.1","7.6","558.4","1226.9","7.1","556.6","1116.6","7.1","484.8","1059.5","6.6","459.3","933.7","6.3","455.5","898.3","6.2","361.2","785.3","6.6","294.1","741.3","6.9","267.7","706.4","6.9","233.1","631.6","7.3","195.7","602.9","7.1","148.1","549.1","6.9","119.8","470.4","5.9","94.5","373.2"
"Burkina Faso","5.4","33.4","96.1","5.6","39.6","94.2","6.1","43.0","99.4","4.9","33.0","75.8","5.2","34.7","76.6","5.9","33.9","82.2","5.7","31.6","74.8","5.2","29.8","68.2","5.9","28.0","73.3","5.1","21.4","60.6","4.4","18.1","50.1","4.7","17.6","49.1","3.5","11.7","35.1","3.3","8.7","31.1","3.2","7.7","29.6","3.3","7.5","28.3"
"Burundi","8.2","24.3","63.7","6.8","20.2","54.6","8.2","22.0","63.8","8.6","21.6","64.6","10.4","25.8","76.3","11.3","26.1","84.6","10.5","22.0","79.1","9.4","18.4","68.5","10.2","17.4","71.7","10.3","17.1","70.0","9.4","14.2","60.9","7.2","9.2","46.3","6.2","7.0","38.0","6.4","7.9","40.4","6.5","8.6","39.4","6.8","9.2","40.4"
"Cabo Verde","4.8","145.8","310.4","5.0","177.1","313.3","4.4","156.8","271.8","4.6","157.9","282.5","4.3","158.0","258.0","4.5","148.3","255.6","3.9","133.7","218.2","3.6","130.4","204.6","4.2","130.4","222.4","5.0","115.5","227.7","4.8","98.2","198.2","4.8","95.7","184.1","4.9","87.2","168.2","5.2","71.5","170.1","5.2","65.9","161.9","4.8","60.1","147.3"
"Cambodia","6.0","69.6","209.6","6.2","67.9","203.3","6.9","70.1","209.2","7.3","69.1","207.7","7.5","66.2","199.5","6.9","54.5","171.3","7.6","56.0","177.5","6.6","49.2","155.5","4.9","31.0","107.7","5.9","32.0","117.0","7.1","33.4","123.7","7.8","32.0","119.4","7.7","28.1","105.8","6.7","22.8","84.4","6.6","21.1","77.6","6.4","19.3","69.8"
"Cameroon","5.1","63.6","162.8","4.9","71.2","151.2","4.9","67.3","143.5","5.0","62.7","139.3","3.8","48.6","100.9","5.0","59.0","129.7","4.8","58.0","123.2","5.0","61.5","127.5","4.6","50.6","114.2","4.4","44.4","107.5","4.5","42.7","105.2","4.5","41.6","102.2","4.7","38.9","103.8","4.6","31.3","98.6","4.5","27.7","93.2","4.3","26.3","85.9"
"Canada","10.4","4507.6","4600.1","10.0","5029.0","4499.0","10.1","5286.7","4453.4","10.2","5343.6","4290.0","10.2","5292.4","4223.8","10.6","4987.5","4207.7","10.6","4290.9","4082.3","9.5","4389.3","3794.2","9.3","4125.4","3652.7","9.2","3710.0","3491.7","9.1","3282.9","3277.9","9.1","2913.4","3075.1","9.0","2551.5","2915.1","8.9","2150.9","2745.8","8.7","2054.4","2607.8","8.3","1998.6","2417.9"
"Central African Republic","4.8","16.6","31.9","4.7","17.8","29.8","4.4","14.8","27.2","3.6","17.8","35.2","3.8","18.9","34.8","3.8","17.0","33.1","4.4","19.7","36.8","4.4","20.0","36.4","4.9","19.5","39.9","4.2","14.7","32.6","4.5","14.7","32.6","3.9","12.1","27.5","4.2","11.9","27.7","3.4","8.7","24.1","3.3","8.0","22.3","3.5","8.5","22.8"
"Chad","4.6","35.6","99.8","4.6","46.9","100.0","4.8","47.4","99.9","3.6","34.9","71.7","3.9","38.7","73.0","4.1","36.5","76.8","4.5","35.9","75.6","4.1","37.9","68.0","4.4","35.0","71.6","4.9","34.8","78.1","4.9","32.1","77.6","6.2","28.3","85.1","6.2","18.2","64.4","8.2","18.2","75.5","6.0","11.8","51.9","6.2","10.2","48.6"
"Chile","8.1","1102.0","1903.1","7.6","1128.0","1774.1","7.4","1173.2","1677.7","7.0","1083.5","1517.9","6.8","995.8","1384.0","6.8","871.3","1243.7","7.2","738.5","1172.8","6.7","726.7","1107.0","6.2","650.1","1041.3","6.0","572.4","942.2","6.6","501.8","841.7","6.9","428.6","812.8","7.3","351.1","789.9","7.3","324.3","748.3","7.2","328.6","715.2","7.0","358.8","676.0"
"China","5.3","425.6","762.2","5.0","376.2","658.0","4.9","339.1","592.5","4.8","298.7","535.0","4.6","254.1","468.4","4.5","198.9","407.0","4.6","174.4","380.5","4.3","145.8","320.6","4.0","106.8","271.9","4.2","86.8","243.4","4.3","75.0","217.8","4.4","66.0","194.8","4.6","58.3","179.4","4.5","51.7","159.9","4.4","45.3","138.9","4.5","42.5","130.0"
"Colombia","6.2","374.2","852.8","6.4","506.7","856.0","6.0","483.0","765.4","6.1","481.2","735.9","5.9","429.5","683.1","6.1","384.0","656.2","6.4","329.1","655.9","6.0","327.6","611.0","5.7","268.2","557.2","5.7","212.7","513.6","5.5","185.3","451.3","5.1","139.9","394.8","5.6","125.3","404.1","5.3","125.3","368.3","5.6","133.2","375.2","5.5","135.3","360.5"
