Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Colombia,86,100,97,86,100,97,85,100,97,84,100,96,83,99,96,82,99,96,81,99,95,80,99,95,79,99,95,78,99,94,77,99,94,77,99,93,76,99,93,75,98,93,74,98,92,73,98,92,72,98,91,71,98,91
Comoros,77,88,80,77,88,80,77,88,80,77,88,80,78,88,81,79,88,82,80,88,83,81,89,83,82,89,84,84,89,85,85,89,86,86,89,87,87,89,88,88,90,88,89,90,89,90,90,90,91,90,91,91,90,91
Congo,46,87,73,44,87,72,41,87,71,39,87,70,37,86,69,35,86,68,33,86,67,31,86,66,29,86,65,27,86,64,26,86,63,24,85,62,22,85,61,20,85,60,18,85,58,18,85,58,18,85,57,18,85,57
Cook Islands,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100
Costa Rica,100,100,100,100,100,100,99,100,100,98,100,99,97,100,99,96,100,99,96,100,98,95,100,98,94,99,98,93,99,98,93,99,97,92,99,97,91,99,96,90,99,96,89,99,96,89,99,95,88,99,95,87,99,94
Côte d'Ivoire,58,88,73,58,88,73,58,88,73,57,88,73,57,88,72,57,89,72,57,89,72,57,89,72,57,89,72,57,89,72,57,90,72,56,90,72,56,90,71,56,90,71,56,90,71,56,90,71,56,91,71,56,91,71
Croatia,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,99,100,99,99,100,99,99,100,99,98,100,99,98,100,99,98,100,99,98,100,99,98,100,99,97,100,99,97,100,99,97,100,99,97,100,98,97,100,98
Cuba,90,97,95,90,97,95,90,97,95,89,97,95,88,97,95,88,97,95,87,97,95,86,97,95,86,97,94,85,97,94,85,97,94,84,97,94,83,97,94,83,97,94,82,97,93,81,97,93,81,97,93,80,97,93
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czechia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Democratic People's Republic of Korea,90,97,95,91,97,95,92,97,95,92,98,96,93,98,96,94,98,96,94,98,97,95,98,97,96,98,97,97,98,98,97,99,98,98,99,98,99,99,99,99,99,99,100,99,99,100,99,99,100,99,99,100,99,99
Democratic Republic of the Congo,23,69,43,23,69,43,22,69,42,22,69,42,21,69,41,21,69,41,20,69,40,20,69,40,19,69,39,19,69,38,19,69,38,18,68,37,18,68,37,17,68,36,17,68,36,16,68,35,16,68,34,16,68,34
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,47,84,76,48,84,76,48,84,76,48,84,76,49,83,76,49,83,76,50,83,76,50,83,76,51,83,76,51,83,76,52,83,76,52,83,76,52,83,76,53,82,76,53,82,76,54,82,76,54,82,76,55,82,76
Dominica,,,,,,,,,97,,,97,,,97,,,97,,,97,,,96,,,96,,,96,,,95,,,95,,,95,,,95,,,94,,,94,,,94,,,93
Dominican Republic,90,98,97,90,98,97,89,98,96,89,98,96,88,98,95,87,98,95,87,98,95,86,97,94,85,97,94,85,97,94,84,97,93,83,97,93,83,97,92,82,97,92,81,97,91,81,96,91,80,96,90,79,96,90
